,FTE,FTE Days Lost,Absence Start Date,Absence End Date,Calendar Days Lost,Total FTE Calendar Days ,First Day Absent
1909,0.42667,1.28001,26/06/2018,28/06/2018,3,1.28001,Tue
1910,0.42667,1.28001,22/01/2019,24/01/2019,3,1.28001,Tue
1911,0.42667,1.28001,14/03/2018,16/03/2018,3,1.28001,Wed
1912,0.42667,1.28001,20/01/2018,22/01/2018,3,1.28001,Sat
1913,0.42667,1.28001,01/04/2019,03/04/2019,3,1.28001,Mon
1914,0.42667,1.28001,29/08/2019,31/08/2019,3,1.28001,Thu
1915,0.64,1.28,16/09/2019,17/09/2019,2,1.28,Mon
1916,0.64,1.28,23/12/2019,24/12/2019,2,1.28,Mon
1917,0.64,1.28,12/06/2018,13/06/2018,2,1.28,Tue
1918,0.64,1.28,12/11/2019,13/11/2019,2,1.28,Tue
1919,0.64,1.28,05/06/2019,06/06/2019,2,1.28,Wed
1920,0.64,1.28,13/11/2018,14/11/2018,2,1.28,Tue
1921,0.64,1.28,08/02/2018,09/02/2018,2,1.28,Thu
1922,0.64,1.28,06/11/2019,07/11/2019,2,1.28,Wed
1923,0.32,1.28,23/02/2018,26/02/2018,4,1.28,Fri
1924,0.64,1.28,01/02/2018,02/02/2018,2,1.28,Thu
1925,0.64,1.28,12/03/2018,13/03/2018,2,1.28,Mon
1926,0.64,1.28,23/11/2019,24/11/2019,2,1.28,Sat
1927,0.625,1.25,24/07/2019,25/07/2019,2,1.25,Wed
1928,0.61333,1.22666,23/12/2019,24/12/2019,2,1.22666,Mon
1929,0.61333,1.22666,02/12/2019,03/12/2019,2,1.22666,Mon
1930,0.61333,1.22666,02/09/2019,03/09/2019,2,1.22666,Mon
1931,0.61333,1.22666,27/09/2018,28/09/2018,2,1.22666,Thu
1932,0.61333,1.22666,13/08/2018,14/08/2018,2,1.22666,Mon
1933,0.61333,1.22666,11/11/2019,12/11/2019,2,1.22666,Mon
1934,0.61333,1.22666,27/11/2019,28/11/2019,2,1.22666,Wed
1935,0.61333,1.22666,26/03/2019,27/03/2019,2,1.22666,Tue
1936,0.61333,1.22666,01/11/2019,02/11/2019,2,1.22666,Fri
1937,0.61333,1.22666,10/09/2019,11/09/2019,2,1.22666,Tue
1938,0.4,1.2,11/07/2018,13/07/2018,3,1.2,Wed
1939,0.6,1.2,24/04/2018,25/04/2018,2,1.2,Tue
1940,0.6,1.2,03/07/2018,04/07/2018,2,1.2,Tue
1941,0.6,1.2,02/01/2018,03/01/2018,2,1.2,Tue
1942,0.6,1.2,12/11/2018,13/11/2018,2,1.2,Mon
1943,0.4,1.2,13/11/2019,15/11/2019,3,1.2,Wed
1944,0.6,1.2,25/01/2018,26/01/2018,2,1.2,Thu
1945,0.6,1.2,07/06/2019,08/06/2019,2,1.2,Fri
1946,0.6,1.2,19/07/2018,20/07/2018,2,1.2,Thu
1947,0.6,1.2,15/03/2018,16/03/2018,2,1.2,Thu
1948,0.6,1.2,12/12/2018,13/12/2018,2,1.2,Wed
1949,0.6,1.2,30/09/2019,01/10/2019,2,1.2,Mon
